Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
Hyundai,Sonata,,2000,Automatic,Diesel,Saloon,"2,180 cc","205,459 km","Rs 1,900,000",No,
Suzuki,Other Model,,1999,Manual,Petrol,,650 cc,"100,000 km","Rs 2,250,000",Yes,
Chery,QQ,Qq,2011,Manual,Petrol,Hatchback,800 cc,"68,780 km","Rs 1,525,000",Yes,
Mitsubishi,Galant,1982,1982,Manual,Petrol,Saloon,"1,600 cc","180,000 km","Rs 460,000",No,
Nissan,Dutsun,1979,1979,Manual,Petrol,,"1,400 cc","389,887 km","Rs 730,000",No,
Suzuki,Estilo,Suzuki,2018,Manual,Petrol,Station wagon,"1,000 cc","113,000 km","Rs 1,200,000",Yes,
Tata,Indica,Tata,2007,Manual,Petrol,Saloon,"1,500 cc","78,000 km","Rs 1,990,000",Yes,
Toyota,Corolla,KE20,1973,Manual,Petrol,Saloon,"1,200 cc","420,000 km","Rs 460,000",Yes,
Mitsubishi,Lancer,,1981,Manual,Petrol,,"1,400 cc","352,800 km","Rs 1,100,000",No,
Nissan,Sunny,,1985,Manual,Petrol,Saloon,"1,300 cc","300,000 km","Rs 790,000",No,
Other brand,Other model,Lancer  Wagon,1978,Manual,Petrol,Station wagon,"1,200 cc","67,000 km","Rs 585,000",Yes,
Nissan,Sunny,B310 Wagon,1982,Manual,Petrol,Station wagon,"1,400 cc","472,000 km","Rs 470,000",Yes,
Datsun,Cross,1977,1977,Manual,Petrol,Saloon,"1,200 cc","90,000 km","Rs 490,000",Yes,
Suzuki,Maruti,2010,2010,Manual,Petrol,,"1,000 cc","50,000 km","Rs 2,490,000",Yes,
Toyota,Carina,,1992,Manual,Diesel,,2 cc,"496,520 km","Rs 2,700,000",No,
Micro,Kyron,,2009,Automatic,Diesel,SUV / 4x4,"2,800 cc","175,000 km","Rs 6,200,000",Yes,
Honda,CRV,,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","63,500 km","Rs 21,500,000",Yes,
Nissan,Sunny,HB12,1987,Automatic,Petrol,Saloon,"1,300 cc","432,000 km","Rs 1,120,000",Yes,
Mitsubishi,Lancer,,1982,Manual,Petrol,Hatchback,"1,400 cc","750,890 km","Rs 1,075,000",Yes,
Mitsubishi,Lancer,wegan,1979,Manual,Petrol,Hatchback,"1,400 cc","450,000 km","Rs 550,000",Yes,
Mitsubishi,Lancer,1988,1988,Manual,Petrol,Station wagon,"1,500 cc","50,000 km","Rs 750,000",Yes,
Maruti Suzuki,800,,1997,Manual,Petrol,Hatchback,800 cc,"156,000 km","Rs 600,000",No,
Bajaj,Other Model,,2022,Manual,Petrol,Hatchback,125 cc,"55,000 km","Rs 1,200,000",Yes,
Daihatsu,Charade,G10 / XTE,1980,Manual,Petrol,Hatchback,"1,000 cc","100,000 km","Rs 635,000",Yes,
Nissan,Pulsar,CJ2,1996,Automatic,Petrol,Saloon,"1,500 cc","220,000 km","Rs 2,430,000",Yes,
Morris,Minor,,1948,Manual,Petrol,Saloon,900 cc,"212,000 km","Rs 750,000",No,
Suzuki,Maruti,2010,2010,Manual,Petrol,,800 cc,"42,000 km","Rs 1,875,000",No,
Ford,Laser,1992,1992,Manual,Petrol,Saloon,1 cc,"111,110 km","Rs 1,375,000",Yes,
Mitsubishi,Lancer,GLX,1987,Manual,Petrol,Saloon,"1,500 cc","86,000 km","Rs 655,000",No,
Nissan,Patrol,B11,1983,Manual,Petrol,Saloon,"1,300 cc","100,000 km","Rs 710,000",No,
Nissan,Bluebird,,1990,Manual,Petrol,Saloon,"1,590 cc","130,000 km","Rs 1,350,000",No,
Mazda,Familia,1981,1981,Manual,Petrol,Hatchback,342 cc,"175,000 km","Rs 475,000",No,
Mitsubishi,Lancer,Lancer L light,1996,Manual,Petrol,Saloon,"1,400 cc","32,000 km","Rs 630,000",Yes,
Suzuki,Maruti,,1995,Manual,Petrol,Hatchback,800 cc,"145,000 km","Rs 1,200,000",Yes,
Mitsubishi,Lancer,Lancer L light,1975,Manual,Petrol,Saloon,"1,430 cc","100,000 km","Rs 430,000",Yes,
Suzuki,Swift,,1999,Manual,Petrol,Station wagon,"1,500 cc","218,400 km","Rs 800,000",Yes,
Mitsubishi,Galant,(Used),1983,Manual,Petrol,Saloon,"1,400 cc","100,000 km","Rs 650,000",Yes,
Ford,Everest,Ford,1978,Automatic,CNG,Saloon,"6,335 cc","56,829 km","Rs 365,000",Yes,
Mitsubishi,Lancer,box,1982,Manual,Petrol,Saloon,800 cc,"45,000 km","Rs 1,030,000",Yes,
Honda,Logo,,1999,Automatic,Petrol,Hatchback,"1,300 cc","150,000 km","Rs 2,650,000",Yes,
Nissan,Other Model,LH30V,1985,Manual,Diesel,MPV,"2,200 cc","175,000 km","Rs 675,000",No,
Peugeot,206,2002,2002,Automatic,Petrol,Hatchback,"1,360 cc","160,000 km","Rs 2,975,000",Yes,
Toyota,Land Cruiser Prado,Toyota,2018,Automatic,Petrol,SUV / 4x4,"2,900 cc","103,000 km","Rs 55,000,000",No,
BYD,Seal,Black COMFORT,2025,Automatic,Electric,Saloon,150 cc,0 km,"Rs 21,000,000",Yes,
Toyota,Corona,,1977,Manual,Petrol,Saloon,"1,600 cc","90,808 km","Rs 1,350,000",Yes,
Micro,Geely,,2013,Manual,Petrol,Hatchback,"1,300 cc","58,735 km","Rs 2,750,000",Yes,
Peugeot,405,Peugeot,1995,Manual,Petrol,Saloon,"1,600 cc","161,335 km","Rs 1,380,000",No,
Micro,MX 7,Geely,2013,Manual,Petrol,Saloon,"1,500 cc","72,000 km","Rs 2,375,000",Yes,
Micro,Panda,,2012,Manual,Petrol,,"1,000 cc","126,000 km","Rs 2,280,000",Yes,
Bajaj,Qute,,2019,Manual,Petrol,,217 cc,"56,259 km","Rs 1,100,000",No,
Hyundai,Matrix,2001,2001,Manual,Petrol,SUV / 4x4,"1,600 cc","218,000 km","Rs 2,200,000",Yes,
Isuzu,Gemini,isuzu gemini,1989,Manual,Diesel,Saloon,"1,480 cc","50,000 km","Rs 1,100,000",Yes,
Tata,Sumo,,2003,Manual,Diesel,Hatchback,"1,948 cc","50,000 km","Rs 1,100,000",Yes,
Mazda,Familia,1996,1996,Manual,Petrol,Saloon,"1,280 cc","200,000 km","Rs 2,000,000",Yes,
Nissan,Sunny,HB11,1986,Manual,Petrol,Saloon,"1,500 cc","310,800 km","Rs 750,000",Yes,
Porsche,Other Model,Laser,1987,Manual,Petrol,Saloon,"1,500 cc","216,462 km","Rs 1,250,000",Yes,
Nissan,Patrol,Nissan,2015,Automatic,Diesel,SUV / 4x4,"2,953 cc","148,000 km","Rs 35,000,000",No,
Jaguar,S-Type,2004,1999,Tiptronic,Petrol,Saloon,"3,000 cc","68,900 km","Rs 7,000,000",Yes,
Mazda,Familia,1982,1982,Manual,Diesel,Saloon,"2,000 cc","200,000 km","Rs 490,000",Yes,
Nissan,Patrol,Y61 3.0 Diesel Auto,2013,Automatic,Diesel,SUV / 4x4,"3,000 cc","126,000 km","Rs 32,500,000",Yes,
Nissan,Navara,Aventrura,2007,Manual,Diesel,SUV / 4x4,"2,500 cc","87,000 km","Rs 6,900,000",Yes,
Toyota,Yaris,Cross HEV,2025,Automatic,Hybrid,SUV / 4x4,"1,497 cc",0 km,"Rs 21,500,000",Yes,
Mitsubishi,Lancer,Lancer Box,1985,Manual,Petrol,Saloon,"1,400 cc","150,000 km","Rs 765,000",Yes,
Honda,Vezel,Z sensing,2019,Automatic,Petrol,Hatchback,"1,500 cc","86,000 km","Rs 14,200,000",Yes,
Mercedes Benz,C220,Mercedes Benz,2013,Automatic,Diesel,Saloon,"2,200 cc","126,000 km","Rs 16,600,000",Yes,
Toyota,Land Cruiser Sahara,ZX,2010,Tiptronic,Petrol,SUV / 4x4,"4,500 cc","149,000 km","Rs 44,500,000",Yes,
Land Rover,Defender,Land Rover,2014,Manual,Diesel,SUV / 4x4,"2,200 cc","88,000 km","Rs 42,500,000",Yes,
Daihatsu,Other Model,TAFT,2024,Automatic,Petrol,SUV / 4x4,660 cc,"3,200 km","Rs 9,000,000",Yes,
Toyota,Allion,260,2018,Automatic,Petrol,Saloon,"1,500 cc","62,000 km","Rs 16,000,000",Yes,
Kia,Sorento,Sorento,2015,Automatic,Diesel,SUV / 4x4,"2,200 cc","140,000 km","Rs 24,500,000",Yes,
Honda,Vezel,Z Gread with power,2023,Tiptronic,Hybrid,Saloon,"1,500 cc","12,000 km","Rs 21,650,000",Yes,
Mitsubishi,Lancer,Lancer Box,1982,Manual,Petrol,Saloon,"1,400 cc","264,000 km","Rs 875,000",Yes,
Mitsubishi,Montero,GLS,2015,Automatic,Diesel,SUV / 4x4,"3,200 cc","42,000 km","Rs 36,000,000",Yes,
Daihatsu,Charade,G30,1987,Manual,Diesel,Hatchback,990 cc,"1,987 km","Rs 1,375,000",Yes,
Toyota,Alphard,Toyota,2016,Automatic,Petrol,MPV,"2,490 cc","44,000 km","Rs 53,500,000",Yes,
Toyota,Corolla,121 G Grade,2004,Manual,Petrol,Saloon,"1,500 cc","68,000 km","Rs 8,500,000",No,
Micro,Rexton,(Used),2008,Automatic,Diesel,SUV / 4x4,"2,696 cc","180,000 km","Rs 7,300,000",No,
Audi,Q2,(Used),2018,Tiptronic,Petrol,Hatchback,"1,000 cc","48,000 km","Rs 19,500,000",Yes,
Toyota,Land Cruiser Sahara,LC300,2024,Tiptronic,Petrol,SUV / 4x4,"3,500 cc",0 km,"Rs 98,500,000",Yes,
Hyundai,Elantra,GLS,2014,Tiptronic,Petrol,Saloon,"1,600 cc","114,000 km","Rs 6,790,000",Yes,
Lexus,RX400,2007,2007,Automatic,Hybrid,SUV / 4x4,"3,300 cc","150,000 km","Rs 11,700,000",Yes,
Toyota,CHR,GT,2017,Tiptronic,Petrol,SUV / 4x4,"1,200 cc","53,171 km","Rs 13,700,000",Yes,
Mercedes Benz,C180,Facelift,2011,Automatic,Petrol,Saloon,"1,790 cc","160,000 km","Rs 12,350,000",Yes,
Mercedes Benz,C180,2010,2010,Automatic,Petrol,Saloon,"1,600 cc","166,000 km","Rs 11,200,000",Yes,
Nissan,X-Trail,Nissan,2015,Automatic,Hybrid,SUV / 4x4,"2,000 cc","109,000 km","Rs 11,500,000",Yes,
Porsche,Cayenne,2015,2015,Tiptronic,Hybrid,SUV / 4x4,"3,000 cc","75,000 km","Rs 46,000,000",No,
Jeep,Wrangler,Sport,2015,Automatic,Diesel,SUV / 4x4,"2,770 cc","165,000 km","Rs 35,000,000",Yes,
Suzuki,Spacia,Custom Turbo,2024,Automatic,Hybrid,Hatchback,650 cc,0 km,"Rs 11,000,000",Yes,
Toyota,Carina,,1985,Manual,Petrol,Saloon,"1,500 cc","12,345 km","Rs 1,015,000",Yes,
Mercedes Benz,EQB,250 Premium Plus B/N,2024,Automatic,Electric,SUV / 4x4,150 cc,0 km,"Rs 46,500,000",Yes,
Honda,CRV,VTI LX,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","99,000 km","Rs 19,500,000",Yes,
Land Rover,Defender,110 Puma 2.4 6 FWD,2012,Manual,Diesel,SUV / 4x4,"2,400 cc","114,000 km","Rs 26,500,000",Yes,
Mitsubishi,Pajero,1996,1996,Automatic,Diesel,SUV / 4x4,"2,800 cc","180,000 km","Rs 10,300,000",Yes,
Toyota,Land Cruiser Prado,150,2017,Automatic,Petrol,SUV / 4x4,"2,690 cc","79,000 km","Rs 51,000,000",No,
Mitsubishi,Montero,2014,2014,Automatic,Diesel,SUV / 4x4,"3,200 cc","249,000 km","Rs 25,000,000",Yes,
BMW,X2,2019,2019,Automatic,Petrol,Station wagon,"1,499 cc","82,500 km","Rs 19,900,000",Yes,
Toyota,Premio,,2007,Automatic,Petrol,Saloon,"1,500 cc","177,500 km","Rs 10,200,000",Yes,
Honda,Fit,2014,2014,Automatic,Hybrid,Hatchback,"1,500 cc","112,000 km","Rs 8,890,000",Yes,
BMW,X2,2019,2019,Automatic,Petrol,Station wagon,"1,499 cc","82,500 km","Rs 19,900,000",Yes,
Suzuki,Hustler,Unregistered,2018,Automatic,Petrol,Hatchback,660 cc,"38,000 km","Rs 7,650,000",No,
Daihatsu,Atrai Wagon,,2017,Automatic,Petrol,,650 cc,"66,000 km","Rs 5,400,000",Yes,
Mercedes Benz,E200,(Used),2010,Automatic,Petrol,Saloon,"1,800 cc","121,000 km","Rs 15,490,000",Yes,
Toyota,Land Cruiser Prado,1980,1980,Manual,Diesel,SUV / 4x4,"4,100 cc","70,000 km","Rs 5,700,000",Yes,
Honda,Accord,EX Package,2019,Automatic,Petrol,Saloon,"1,500 cc","7,000 km","Rs 28,275,000",Yes,
Kia,Carens,2001,2001,Automatic,Petrol,Hatchback,"1,800 cc","173,000 km","Rs 2,550,000",Yes,
Land Rover,Range Rover,Autobiography LWB,2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","12,000 km","Rs 105,000,000",No,
Tata,Nexon,Tata,2012,Manual,Diesel,,"2,950 cc","100,000 km","Rs 1,650,000",Yes,
Nissan,Patrol,,2014,Automatic,Diesel,SUV / 4x4,"3,000 cc","73,000 km","Rs 43,500,000",Yes,
Ssang Yong,Rexton,G4,2018,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","107,000 km","Rs 28,850,000",Yes,
Suzuki,Alto,800,2015,Manual,Petrol,Hatchback,800 cc,"58,000 km","Rs 3,600,000",Yes,
Suzuki,Wagon R FX,Safety,2023,Automatic,Hybrid,Hatchback,660 cc,"7,000 km","Rs 7,500,000",Yes,
Peugeot,5008,GT Line,2020,Automatic,Petrol,SUV / 4x4,"1,200 cc","66,000 km","Rs 23,900,000",Yes,
Mitsubishi,Other Model,Triton G,2024,Automatic,Diesel,SUV / 4x4,"2,436 cc",1 km,"Rs 23,000,000",Yes,
Mitsubishi,L200,Triton GSR G,2024,Automatic,Diesel,SUV / 4x4,"2,436 cc",1 km,"Rs 23,000,000",Yes,
Suzuki,Escudo,Suzuki,2009,Automatic,Petrol,SUV / 4x4,"2,390 cc","145,000 km","Rs 9,000,000",Yes,
Toyota,Corolla,Toyota,1983,Manual,Petrol,Saloon,"1,300 cc","352,800 km","Rs 875,000",Yes,
Land Rover,Discovery,4 GS TDV6,2010,Automatic,Diesel,SUV / 4x4,"2,700 cc","115,000 km","Rs 24,800,000",Yes,
Tesla,Model 3,,2024,Automatic,Electric,Saloon,150 cc,0 km,"Rs 38,500,000",No,
Mercedes Benz,E200,AMG Premium Plus,2019,Automatic,Petrol,Saloon,"2,000 cc","57,000 km","Rs 37,500,000",No,
Mercedes Benz,C200,AMG Premium Plus,2018,Automatic,Petrol,Saloon,"1,500 cc","50,000 km","Rs 30,000,000",No,
Mercedes Benz,C200,AMG Premium Plus,2019,Automatic,Petrol,Saloon,"1,500 cc","50,000 km","Rs 30,000,000",No,
Toyota,Axio,Wxb Full Option,2017,Automatic,Hybrid,Saloon,"1,490 cc","25,000 km","Rs 14,300,000",Yes,
Land Rover,Range Rover Sport,P400,2019,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","52,000 km","Rs 75,500,000",Yes,
Ford,Mustang,2.3 Eco Boost,2018,Automatic,Petrol,Convertible,"2,300 cc","18,000 km","Rs 54,500,000",Yes,
Perodua,Kelisa,2004,2004,Automatic,Petrol,,"1,000 cc","100,000 km","Rs 3,475,000",No,
Nissan,Patrol,1979,1979,Manual,Petrol,Saloon,"1,600 cc","50,000 km","Rs 500,000",No,
Nissan,Sunny,,1988,Manual,Petrol,,"1,500 cc","50,000 km","Rs 1,080,000",Yes,
Alfa Romeo,Other Model,urgent,1993,Automatic,Petrol,Coupé/Sports,"1,500 cc","300,000 km","Rs 2,500,000",Yes,
Toyota,Corolla,GL model,1993,Manual,Petrol,Station wagon,"1,300 cc","400,000 km","Rs 850,000",Yes,
BMW,i5,M Sport,2024,Automatic,Electric,Saloon,200 cc,164 km,"Rs 68,000,000",Yes,
Hyundai,Grand i10,,2024,Automatic,Petrol,Hatchback,"1,197 cc",0 km,"Rs 9,439,999",No,
Nissan,Dayz,NISSAN DAYS,2015,Automatic,Petrol,Hatchback,650 cc,"96,153 km","Rs 5,650,000",Yes,
Mitsubishi,Montero,,2003,Automatic,Diesel,SUV / 4x4,"2,800 cc","178,000 km","Rs 14,950,000",Yes,
Nissan,AD Wagon,Nissan,2000,Automatic,Petrol,Station wagon,"1,490 cc","272,943 km","Rs 3,200,000",No,
Hyundai,Santa Fe,Calligraphy Edition,2025,Tiptronic,Hybrid,SUV / 4x4,"1,592 cc",0 km,"Rs 35,500,000",No,
Toyota,Land Cruiser Prado,SUV,2000,Manual,Diesel,SUV / 4x4,"3,000 cc","139,000 km","Rs 13,800,000",No,
Toyota,Land Cruiser Sahara,V8,2016,Tiptronic,Diesel,,"4,400 cc","126,000 km","Rs 82,500,000",No,
Suzuki,Wagon R FX,,2024,Automatic,Hybrid,Hatchback,650 cc,"2,300 km","Rs 7,900,000",Yes,
Jeep,Renegade,Limited,2018,Automatic,Petrol,SUV / 4x4,"1,368 cc","38,000 km","Rs 14,800,000",Yes,
Nissan,Qashqai,,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","54,000 km","Rs 15,000,000",Yes,
Nissan,Leaf,Nissan,2013,Automatic,Electric,Hatchback,70 cc,"92,000 km","Rs 5,950,000",No,
Toyota,Other Model,,1996,Automatic,Diesel,Station wagon,"1,970 cc","275,000 km","Rs 2,700,000",Yes,
Proton,Saga,2024,2024,Automatic,Petrol,Saloon,"1,300 cc","2,600 km","Rs 8,750,000",Yes,
Toyota,Axio,G Grade,2007,Automatic,Petrol,Saloon,"1,490 cc","202,165 km","Rs 7,800,000",Yes,
Mitsubishi,Lancer,Mitsubishi,1984,Manual,Petrol,Saloon,"1,400 cc","144,400 km","Rs 428,000",Yes,
Toyota,Prius,Full Bodykit,2014,Automatic,Hybrid,Saloon,"1,800 cc","150,000 km","Rs 12,050,000",No,
BMW,X3,BMW,2014,Automatic,Diesel,SUV / 4x4,"2,000 cc","115,000 km","Rs 21,650,000",Yes,
Mitsubishi,4DR,,1980,Manual,Diesel,SUV / 4x4,"2,500 cc","90,000 km","Rs 4,000,000",No,
Hyundai,Grand i10,Abyss Black,2024,Automatic,Petrol,Hatchback,"1,197 cc",0 km,"Rs 9,439,999",No,
Kia,Sorento,SUV,2012,Automatic,Diesel,SUV / 4x4,"2,200 cc","153,000 km","Rs 13,500,000",Yes,
Mercedes Benz,CLA 200,2019,2019,Automatic,Petrol,Coupé/Sports,"1,332 cc","100,000 km","Rs 25,250,000",Yes,
Peugeot,508,Peugeot,2015,Tiptronic,Diesel,Saloon,"2,000 cc","148,000 km","Rs 17,850,000",Yes,
Suzuki,Wagon R FX,Safety,2023,Automatic,Petrol,Hatchback,660 cc,"3,600 km","Rs 7,450,000",Yes,
Toyota,Axio,Toyota,2016,Automatic,Petrol,SUV / 4x4,"1,500 cc","125,000 km","Rs 12,500,000",Yes,
Ford,Raptor Ranger,1st Owner,2020,Automatic,Diesel,SUV / 4x4,"2,000 cc","67,000 km","Rs 25,500,000",Yes,
Mercedes Benz,SLC 180,Convertible,2018,Automatic,Petrol,Convertible,"1,600 cc","31,000 km","Rs 27,500,000",Yes,
Toyota,Vitz,KSP 90,2007,Automatic,Petrol,Hatchback,990 cc,"168,600 km","Rs 5,500,000",Yes,
Audi,A1,Sports TFSI,2017,Automatic,Petrol,Hatchback,"1,000 cc","90,000 km","Rs 9,850,000",Yes,
Kia,Sorento,,2012,Automatic,Diesel,SUV / 4x4,"2,100 cc","142,914 km","Rs 14,500,000",Yes,
Toyota,Axio,Toyota Axio WXB 2017,2017,Automatic,Hybrid,,"1,500 cc","116,000 km","Rs 13,875,000",Yes,
Mitsubishi,Lancer,,1979,Manual,Petrol,,"1,400 cc","816,046 km","Rs 860,000",No,
Nissan,Patrol,Nissan Petrol Y61,2014,Automatic,Diesel,SUV / 4x4,"3,000 cc","74,751 km","Rs 43,500,000",Yes,
Nissan,Double cab,D21,1981,Manual,Diesel,,"2,164 cc","200,000 km","Rs 1,450,000",No,
Suzuki,SX4,,2010,Automatic,Petrol,Saloon,"1,490 cc","123,988 km","Rs 5,790,000",No,
Mazda,Familia,,1986,Manual,Petrol,,"1,290 cc","250,000 km","Rs 1,370,250",No,
Perodua,Kelisa,MANUAL,2006,Manual,Petrol,Hatchback,"1,000 cc","135,000 km","Rs 2,795,000",Yes,
Nissan,Other Model,NZ 100,1998,Manual,Petrol,Coupé/Sports,500 cc,"20,000 km","Rs 3,800,000",No,
Mitsubishi,Other Model,Minica,2001,Automatic,Petrol,Hatchback,660 cc,"165,000 km","Rs 2,875,000",No,
Nissan,AD Wagon,1987,1987,Manual,Petrol,Saloon,"1,300 cc","50,000 km","Rs 650,000",Yes,
Daihatsu,Mira,,2001,Automatic,Petrol,Hatchback,650 cc,"140,000 km","Rs 3,500,000",No,
Nissan,AD Wagon,1984,1984,Manual,Petrol,Station wagon,"1,550 cc","189,000 km","Rs 685,000",No,
Toyota,Avanza,Toyota,2014,Automatic,Petrol,MPV,"1,500 cc","157,000 km","Rs 10,500,000",Yes,
Honda,Fit,DAA FIT GP5,2013,Automatic,Hybrid,Hatchback,"1,490 cc","158,000 km","Rs 8,500,000",Yes,
Land Rover,Range Rover Sport,White,2018,Tiptronic,Diesel,SUV / 4x4,"2,000 cc","70,000 km","Rs 55,000,000",Yes,
Toyota,Other Model,LC 300 V6 2024,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",100 km,"Rs 88,500,000",Yes,
Daihatsu,Move,Daihatsu,2023,Automatic,Petrol,Hatchback,660 cc,"25,607 km","Rs 6,900,000",No,
Land Rover,Range Rover,Land,2025,Automatic,Hybrid,SUV / 4x4,"3,000 cc",68 km,"Rs 160,000,000",Yes,
Kia,Sorento,1-20 Option,2015,Automatic,Diesel,SUV / 4x4,"2,200 cc","195,000 km","Rs 21,900,000",Yes,
Honda,Vezel,Z premium play,2024,Tiptronic,Hybrid,Saloon,"1,500 cc","1,200 km","Rs 22,900,000",Yes,
Toyota,Land Cruiser Prado,2017,2017,Automatic,Petrol,Station wagon,"2,690 cc","115,000 km","Rs 45,000,000",No,
Land Rover,Freelander,Land,1999,Manual,Diesel,SUV / 4x4,"2,200 cc","185,000 km","Rs 4,990,000",Yes,
DFSK,Glory,Glory i-Auto,2023,Automatic,Petrol,SUV / 4x4,"1,500 cc","3,800 km","Rs 16,500,000",No,
Nissan,Qashqai,TEKNA,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","153,000 km","Rs 11,950,000",Yes,
Mercedes Benz,A200,Mercedes,2019,Automatic,Petrol,Saloon,"1,300 cc","17,600 km","Rs 29,000,000",Yes,
Land Rover,Range Rover Evoque,P270e Dynamic HSE,2024,Automatic,Hybrid,SUV / 4x4,"1,500 cc","2,023 km","Rs 41,000,000",No,
Honda,Civic,ek3,1996,Manual,Petrol,Saloon,"1,500 cc","111,111 km","Rs 3,650,000",Yes,
Mazda,Other Model,323,1988,Manual,Petrol,Saloon,"1,600 cc","236,603 km","Rs 950,000",No,
Toyota,Allion,(Used),2004,Automatic,Petrol,Saloon,"1,500 cc","198,500 km","Rs 7,250,000",No,
Toyota,Corolla,,2004,Automatic,Petrol,Saloon,"1,500 cc","250,000 km","Rs 6,025,000",Yes,
Suzuki,Baleno,Suzuki,2017,Automatic,Petrol,Hatchback,"1,200 cc","152,000 km","Rs 7,250,000",Yes,
Mitsubishi,Montero,Montero V6,2003,Automatic,Petrol,SUV / 4x4,"3,500 cc","154,000 km","Rs 12,800,000",Yes,
Toyota,Land Cruiser Sahara,LC 300 ZX,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",600 km,"Rs 102,290,000",Yes,
Toyota,Land Cruiser Prado,FIRST EDITION,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",50 km,"Rs 71,250,000",Yes,
Land Rover,Freelander,Land Rover,2013,Automatic,Diesel,SUV / 4x4,"2,200 cc","92,000 km","Rs 15,000,000",Yes,
Toyota,Land Cruiser Prado,V8,2010,Tiptronic,Petrol,SUV / 4x4,"4,600 cc","187,377 km","Rs 48,000,000",Yes,
Peugeot,2008,2016,2016,Automatic,Petrol,SUV / 4x4,"1,200 cc","103,000 km","Rs 10,000,000",Yes,
Nissan,Presea,1300,1997,Automatic,Petrol,Saloon,"1,300 cc","122,000 km","Rs 3,050,000",Yes,
Micro,Panda,1000 CC,2015,Manual,Petrol,Hatchback,"1,000 cc","56,000 km","Rs 2,895,000",Yes,
Suzuki,Alto,800 CC,2015,Manual,Petrol,Hatchback,800 cc,"122,000 km","Rs 3,495,000",Yes,
Volkswagen,ID-4 STYLISH,,2022,Automatic,Electric,SUV / 4x4,109 cc,"6,500 km","Rs 21,000,000",Yes,
Toyota,Axio,,2008,Automatic,Petrol,Saloon,"1,500 cc","130,000 km","Rs 7,650,000",Yes,
Mini,Cooper,Car,1959,Manual,Petrol,Hatchback,"1,300 cc","105,000 km","Rs 2,275,000",Yes,
Toyota,Hilux,Revo Brand New,2025,Automatic,Diesel,SUV / 4x4,"2,800 cc",0 km,"Rs 23,990,000",Yes,
BMW,X1,X Drive25 E,2024,Automatic,Hybrid,Station wagon,"1,500 cc",39 km,"Rs 42,590,000",Yes,
Toyota,Premio,32000 KM,2016,Automatic,Petrol,Saloon,"1,500 cc","32,000 km","Rs 16,950,000",No,
Hyundai,Santa Fe,2007,2007,Automatic,Petrol,SUV / 4x4,"2,600 cc","145,000 km","Rs 6,250,000",Yes,
Mitsubishi,ASX,1988,1988,Manual,Petrol,,"1,500 cc","310,800 km","Rs 990,000",No,
Ford,Focus,MK2,2011,Automatic,Petrol,Saloon,"1,600 cc","300,000 km","Rs 4,990,000",Yes,
Nissan,Sunny,nissan b211,1977,Manual,Petrol,Saloon,"1,200 cc","50,000 km","Rs 645,000",Yes,
Mitsubishi,Montero,,2006,Tiptronic,Petrol,SUV / 4x4,"3,500 cc","130,000 km","Rs 13,900,000",Yes,
Toyota,Raize,raize z 1200 turbo,2024,Automatic,Petrol,SUV / 4x4,"1,200 cc","7,000 km","Rs 12,800,000",Yes,
Toyota,Allion,Toyota,2013,Automatic,Petrol,Saloon,"1,500 cc","153,000 km","Rs 11,790,000",Yes,
Micro,Panda,2015,2015,Manual,Petrol,Hatchback,998 cc,"78,000 km","Rs 2,800,000",Yes,
Honda,Fit,Honda,2012,Automatic,Petrol,Hatchback,"1,300 cc","110,000 km","Rs 6,685,000",Yes,
Honda,City,City 2001,2001,Automatic,Petrol,Saloon,"1,500 cc","194,000 km","Rs 3,500,000",Yes,
Nissan,Navara,Nissan,2007,Manual,Diesel,SUV / 4x4,"2,500 cc","190,000 km","Rs 5,850,000",Yes,
Mitsubishi,Eclipse Cross,2018,2018,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","62,000 km","Rs 16,700,000",No,
Mitsubishi,Lancer,1975,1975,Manual,Petrol,Hatchback,"1,400 cc","168,000 km","Rs 650,000",Yes,
Toyota,Vitz,,2015,Automatic,Petrol,Hatchback,"1,000 cc","120,000 km","Rs 7,200,000",Yes,
Tesla,Model Y,Model Y Long Range,2024,Automatic,Electric,SUV / 4x4,220 cc,50 km,"Rs 33,000,000",Yes,
Mitsubishi,Lancer,box,1983,Manual,Petrol,Saloon,"1,600 cc","50,000 km","Rs 490,000",No,
Land Rover,Range Rover Evoque,Land Rover,2013,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","139,000 km","Rs 19,900,000",Yes,
Micro,Panda,,2011,Manual,Petrol,Hatchback,"1,300 cc","100,000 km","Rs 2,300,000",Yes,
Kia,Optima,fully loaded,2011,Automatic,Petrol,Saloon,"2,000 cc","180,000 km","Rs 13,250,000",Yes,
